Metric,Value
Total Trades,8
Total PnL,583462
Win Rate,50.0%
Win Count,4
Loss Count,4
Avg Win,310137
Avg Loss,-164271
Profit Factor,1.89
Max Single Win,362152
Max Single Loss,-196078
Max Consecutive Wins,4
Max Consecutive Losses,4
Max Drawdown,657084
Avg Holding Duration,2h11m56s
Avg Return%,0.73%
