Metric,Value
Total Trades,1
Total PnL,-201816
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-201816
Profit Factor,0.00
Max Single Win,-201816
Max Single Loss,-201816
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,201816
Avg Holding Duration,0h06m00s
Avg Return%,-2.02%
