Metric,Value
Total Trades,3
Total PnL,528480
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,333087
Avg Loss,-137694
Profit Factor,4.84
Max Single Win,373776
Max Single Loss,-137694
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,137694
Avg Holding Duration,2h47m14s
Avg Return%,1.76%
