Metric,Value
Total Trades,2
Total PnL,125366
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,329709
Avg Loss,-204342
Profit Factor,1.61
Max Single Win,329709
Max Single Loss,-204342
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,204342
Avg Holding Duration,2h39m36s
Avg Return%,0.63%
