Metric,Value
Total Trades,3
Total PnL,614058
Win Rate,100.0%
Win Count,3
Loss Count,0
Avg Win,204686
Avg Loss,0
Profit Factor,0.00
Max Single Win,317605
Max Single Loss,119581
Max Consecutive Wins,3
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h07m12s
Avg Return%,2.05%
