Metric,Value
Total Trades,2
Total PnL,536002
Win Rate,100.0%
Win Count,2
Loss Count,0
Avg Win,268001
Avg Loss,0
Profit Factor,0.00
Max Single Win,292099
Max Single Loss,243902
Max Consecutive Wins,2
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h09m58s
Avg Return%,2.68%
