Metric,Value
Total Trades,3
Total PnL,-528369
Win Rate,0.0%
Win Count,0
Loss Count,3
Avg Win,0
Avg Loss,-176123
Profit Factor,0.00
Max Single Win,-153417
Max Single Loss,-190337
Max Consecutive Wins,0
Max Consecutive Losses,3
Max Drawdown,528369
Avg Holding Duration,0h11m05s
Avg Return%,-1.76%
