Metric,Value
Total Trades,2
Total PnL,-470402
Win Rate,0.0%
Win Count,0
Loss Count,2
Avg Win,0
Avg Loss,-235201
Profit Factor,0.00
Max Single Win,-227273
Max Single Loss,-243129
Max Consecutive Wins,0
Max Consecutive Losses,2
Max Drawdown,470402
Avg Holding Duration,0h20m41s
Avg Return%,-2.35%
