Metric,Value
Total Trades,2
Total PnL,19837
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,42017
Avg Loss,-22180
Profit Factor,1.89
Max Single Win,42017
Max Single Loss,-22180
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,22180
Avg Holding Duration,2h40m27s
Avg Return%,0.10%
