Metric,Value
Total Trades,3
Total PnL,465186
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,342021
Avg Loss,-218855
Profit Factor,3.13
Max Single Win,380274
Max Single Loss,-218855
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,218855
Avg Holding Duration,2h48m18s
Avg Return%,1.55%
