Metric,Value
Total Trades,1
Total PnL,-41997
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-41997
Profit Factor,0.00
Max Single Win,-41997
Max Single Loss,-41997
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,41997
Avg Holding Duration,1h39m57s
Avg Return%,-0.42%
