Metric,Value
Total Trades,3
Total PnL,146219
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,329709
Avg Loss,-91745
Profit Factor,1.80
Max Single Win,329709
Max Single Loss,-180412
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,183489
Avg Holding Duration,2h19m30s
Avg Return%,0.49%
