Metric,Value
Total Trades,2
Total PnL,171781
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,370696
Avg Loss,-198915
Profit Factor,1.86
Max Single Win,370696
Max Single Loss,-198915
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,198915
Avg Holding Duration,2h07m08s
Avg Return%,0.86%
