Metric,Value
Total Trades,3
Total PnL,-153658
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,272953
Avg Loss,-213305
Profit Factor,0.64
Max Single Win,272953
Max Single Loss,-253700
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,426610
Avg Holding Duration,1h23m11s
Avg Return%,-0.51%
