Metric,Value
Total Trades,1
Total PnL,202908
Win Rate,100.0%
Win Count,1
Loss Count,0
Avg Win,202908
Avg Loss,0
Profit Factor,0.00
Max Single Win,202908
Max Single Loss,202908
Max Consecutive Wins,1
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h03m05s
Avg Return%,2.03%
