Metric,Value
Total Trades,3
Total PnL,51278
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,310644
Avg Loss,-129683
Profit Factor,1.20
Max Single Win,310644
Max Single Loss,-259366
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,259366
Avg Holding Duration,2h47m06s
Avg Return%,0.17%
