Metric,Value
Total Trades,7
Total PnL,-119263
Win Rate,57.1%
Win Count,4
Loss Count,3
Avg Win,64264
Avg Loss,-125440
Profit Factor,0.68
Max Single Win,85324
Max Single Loss,-168350
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,204588
Avg Holding Duration,1h13m04s
Avg Return%,-0.17%
