Metric,Value
Total Trades,4
Total PnL,-202404
Win Rate,25.0%
Win Count,1
Loss Count,3
Avg Win,317183
Avg Loss,-173196
Profit Factor,0.61
Max Single Win,317183
Max Single Loss,-195652
Max Consecutive Wins,1
Max Consecutive Losses,3
Max Drawdown,519587
Avg Holding Duration,1h10m15s
Avg Return%,-0.51%
