Metric,Value
Total Trades,1
Total PnL,243007
Win Rate,100.0%
Win Count,1
Loss Count,0
Avg Win,243007
Avg Loss,0
Profit Factor,0.00
Max Single Win,243007
Max Single Loss,243007
Max Consecutive Wins,1
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,3h56m30s
Avg Return%,2.43%
