Metric,Value
Total Trades,4
Total PnL,364251
Win Rate,50.0%
Win Count,2
Loss Count,2
Avg Win,283069
Avg Loss,-100944
Profit Factor,2.80
Max Single Win,305915
Max Single Loss,-188235
Max Consecutive Wins,2
Max Consecutive Losses,2
Max Drawdown,201888
Avg Holding Duration,2h35m30s
Avg Return%,0.91%
