Metric,Value
Total Trades,1
Total PnL,-166113
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-166113
Profit Factor,0.00
Max Single Win,-166113
Max Single Loss,-166113
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,166113
Avg Holding Duration,0h04m09s
Avg Return%,-1.66%
