Metric,Value
Total Trades,4
Total PnL,-196802
Win Rate,25.0%
Win Count,1
Loss Count,3
Avg Win,317183
Avg Loss,-171328
Profit Factor,0.62
Max Single Win,317183
Max Single Loss,-184615
Max Consecutive Wins,1
Max Consecutive Losses,3
Max Drawdown,513985
Avg Holding Duration,1h11m34s
Avg Return%,-0.49%
