Metric,Value
Total Trades,3
Total PnL,532526
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,342021
Avg Loss,-151515
Profit Factor,4.51
Max Single Win,380274
Max Single Loss,-151515
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,151515
Avg Holding Duration,2h47m05s
Avg Return%,1.78%
