Metric,Value
Total Trades,1
Total PnL,-119565
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-119565
Profit Factor,0.00
Max Single Win,-119565
Max Single Loss,-119565
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,119565
Avg Holding Duration,0h01m11s
Avg Return%,-1.20%
