Metric,Value
Total Trades,1
Total PnL,181983
Win Rate,100.0%
Win Count,1
Loss Count,0
Avg Win,181983
Avg Loss,0
Profit Factor,0.00
Max Single Win,181983
Max Single Loss,181983
Max Consecutive Wins,1
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h14m22s
Avg Return%,1.82%
