Metric,Value
Total Trades,3
Total PnL,-415303
Win Rate,0.0%
Win Count,0
Loss Count,3
Avg Win,0
Avg Loss,-138434
Profit Factor,0.00
Max Single Win,-65789
Max Single Loss,-194715
Max Consecutive Wins,0
Max Consecutive Losses,3
Max Drawdown,415303
Avg Holding Duration,1h33m34s
Avg Return%,-1.38%
