Metric,Value
Total Trades,1
Total PnL,-163488
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-163488
Profit Factor,0.00
Max Single Win,-163488
Max Single Loss,-163488
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,163488
Avg Holding Duration,1h01m55s
Avg Return%,-1.63%
