Metric,Value
Total Trades,1
Total PnL,-147493
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-147493
Profit Factor,0.00
Max Single Win,-147493
Max Single Loss,-147493
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,147493
Avg Holding Duration,0h00m51s
Avg Return%,-1.47%
