Metric,Value
Total Trades,8
Total PnL,741839
Win Rate,50.0%
Win Count,4
Loss Count,4
Avg Win,349731
Avg Loss,-164271
Profit Factor,2.13
Max Single Win,390270
Max Single Loss,-196078
Max Consecutive Wins,4
Max Consecutive Losses,4
Max Drawdown,657084
Avg Holding Duration,2h13m46s
Avg Return%,0.93%
