Metric,Value
Total Trades,2
Total PnL,-378447
Win Rate,0.0%
Win Count,0
Loss Count,2
Avg Win,0
Avg Loss,-189224
Profit Factor,0.00
Max Single Win,-181818
Max Single Loss,-196629
Max Consecutive Wins,0
Max Consecutive Losses,2
Max Drawdown,378447
Avg Holding Duration,1h06m35s
Avg Return%,-1.89%
