Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,2367      ,100521688613        ,-1.13797e+08   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,184502         
leave     ,2367      ,103258143988        ,-1.54011e+08   ,-7.97417e+06   ,-              ,-              ,takeProfit     ,147601         
leave     ,2367      ,103304911501        ,-1.61981e+08   ,-5.94465e+06   ,-              ,-              ,takeProfit     ,110701         
leave     ,2367      ,103305062149        ,-1.59948e+08   ,-3.91144e+06   ,-              ,-              ,takeProfit     ,73800.7        
leave     ,2367      ,103312056555        ,-1.57911e+08   ,-1.87454e+06   ,-              ,-              ,takeProfit     ,36900.4        
leave     ,2367      ,103351221276        ,-1.51816e+08   ,166052         ,-              ,-              ,takeProfit     ,0              
