Metric,Value
Total Trades,6
Total PnL,-500228
Win Rate,33.3%
Win Count,2
Loss Count,4
Avg Win,25026
Avg Loss,-137570
Profit Factor,0.09
Max Single Win,40650
Max Single Loss,-170068
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,500228
Avg Holding Duration,1h09m59s
Avg Return%,-0.83%
