Metric,Value
Total Trades,2
Total PnL,65698
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,262549
Avg Loss,-196850
Profit Factor,1.33
Max Single Win,262549
Max Single Loss,-196850
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,196850
Avg Holding Duration,2h06m11s
Avg Return%,0.33%
