Metric,Value
Total Trades,3
Total PnL,29277
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,301818
Avg Loss,-136270
Profit Factor,1.11
Max Single Win,301818
Max Single Loss,-147541
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,272541
Avg Holding Duration,1h27m52s
Avg Return%,0.10%
