Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
6683,SignalA,StrongGroup,09:10:12,09:20:31,stopLoss,-188235,-1.88%,0h10m19s,探針卡,9,1,1,,425.00,419.19,429.00,404.00,0.354,4.96,221050575,0,0,0,0,0.141
6443,SignalA,StrongGroup,09:16:08,10:01:54,stopLoss,-174129,-1.74%,0h45m46s,太陽能,9,1,1,,40.20,39.70,40.95,37.50,0.354,3.63,1750283737,0,0,1,0,0.212
3152,SignalA,StrongGroup,09:05:28,13:20:21,lockedLimitUp,305915,3.06%,4h14m53s,網路通訊,6,1,1,,177.50,175.24,177.50,166.50,0.354,4.95,233668800,0,0,0,0,0.071
