Metric,Value
Total Trades,1
Total PnL,310644
Win Rate,100.0%
Win Count,1
Loss Count,0
Avg Win,310644
Avg Loss,0
Profit Factor,0.00
Max Single Win,310644
Max Single Loss,310644
Max Consecutive Wins,1
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h07m30s
Avg Return%,3.11%
