Metric,Value
Total Trades,5
Total PnL,1145470
Win Rate,100.0%
Win Count,5
Loss Count,0
Avg Win,229094
Avg Loss,0
Profit Factor,0.00
Max Single Win,345352
Max Single Loss,24510
Max Consecutive Wins,5
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h08m19s
Avg Return%,2.29%
