Metric,Value
Total Trades,1
Total PnL,-202429
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-202429
Profit Factor,0.00
Max Single Win,-202429
Max Single Loss,-202429
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,202429
Avg Holding Duration,0h13m10s
Avg Return%,-2.02%
