Metric,Value
Total Trades,2
Total PnL,437186
Win Rate,100.0%
Win Count,2
Loss Count,0
Avg Win,218593
Avg Loss,0
Profit Factor,0.00
Max Single Win,317605
Max Single Loss,119581
Max Consecutive Wins,2
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h06m52s
Avg Return%,2.19%
