Metric,Value
Total Trades,3
Total PnL,-56449
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,305915
Avg Loss,-181182
Profit Factor,0.84
Max Single Win,305915
Max Single Loss,-188235
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,362365
Avg Holding Duration,1h43m39s
Avg Return%,-0.19%
