Metric,Value
Total Trades,8
Total PnL,173240
Win Rate,50.0%
Win Count,4
Loss Count,4
Avg Win,127563
Avg Loss,-84253
Profit Factor,1.51
Max Single Win,228137
Max Single Loss,-162602
Max Consecutive Wins,3
Max Consecutive Losses,2
Max Drawdown,294833
Avg Holding Duration,1h02m03s
Avg Return%,0.22%
