Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank
6488,SignalA,StrongGroup,09:20:04,09:31:40,stopLoss,-140704,-1.41%,0h11m36s,矽晶圓指標,6,1,1
1303,SignalA,StrongGroup,09:20:51,09:43:21,stopLoss,101828,1.02%,0h22m30s,玻纖布,1,1,4
1815,SignalA,StrongGroup,09:36:12,09:45:38,stopLoss,-192308,-1.92%,0h09m26s,玻纖布,1,1,3
3149,SignalA,StrongGroup,09:27:23,10:04:10,takeProfit,150215,1.50%,0h36m47s,TFT 面板,3,1,1
8271,SignalA,StrongGroup,09:52:29,10:08:14,stopLoss,-179856,-1.80%,0h15m45s,記憶體,1,2,10
2312,SignalA,StrongGroup,10:14:16,11:00:56,stopLoss,-152355,-1.52%,0h46m40s,車用電子,5,1,1
8074,SignalA,StrongGroup,10:56:48,12:24:28,stopLoss,-150000,-1.50%,1h27m40s,鑽孔,9,1,1
